time,3458B_volt
1721677246.48871,-1.142048711e-05
1721677254.5292044,-1.137650577e-05
1721677262.569627,-1.127388266e-05
1721677270.6102328,-1.134718488e-05
1721677278.6508517,-1.133252444e-05
1721677286.6914365,-1.133252444e-05
1721677294.7318938,-1.140582667e-05
1721677302.7725334,-1.133252444e-05
1721677310.8130162,-1.122990132e-05
1721677318.8531423,-1.118591998e-05
1721677326.8936384,-1.137650577e-05
1721677334.9341455,-1.142048711e-05
1721677342.9746995,-1.134718488e-05
1721677351.015185,-1.12885431e-05
1721677359.0556405,-1.142048711e-05
1721677367.096165,-1.137650577e-05
1721677375.1368282,-1.139116622e-05
1721677383.1774826,-1.146446845e-05
1721677391.218086,-1.134718488e-05
1721677399.2583086,-1.118591998e-05
1721677407.2988672,-1.136184533e-05
1721677415.3393414,-1.134718488e-05
1721677423.3799634,-1.122990132e-05
1721677431.4207108,-1.134718488e-05
1721677439.46131,-1.140582667e-05
1721677447.501583,-1.131786399e-05
1721677455.5423176,-1.137650577e-05
1721677463.5829394,-1.136184533e-05
1721677471.6236289,-1.136184533e-05
1721677479.6640308,-1.140582667e-05
1721677487.704528,-1.136184533e-05
1721677495.74511,-1.149378934e-05
1721677503.7855916,-1.124456176e-05
1721677511.8262155,-1.127388266e-05
1721677519.8668435,-1.147912889e-05
1721677527.90716,-1.140582667e-05
1721677535.9477074,-1.146446845e-05
1721677543.9882653,-1.143514756e-05
1721677552.0289035,-1.147912889e-05
1721677560.0695915,-1.127388266e-05
1721677568.1101997,-1.134718488e-05
1721677576.150869,-1.127388266e-05
1721677584.1914737,-1.12885431e-05
1721677592.2321727,-1.125922221e-05
1721677600.2726984,-1.127388266e-05
1721677608.313114,-1.130320355e-05
1721677616.3537526,-1.125922221e-05
1721677624.3944924,-1.124456176e-05
1721677632.435097,-1.137650577e-05
1721677640.4756374,-1.125922221e-05
1721677648.5160708,-1.12885431e-05
1721677656.5566106,-1.127388266e-05
